lemma	top	first_tag
قدم	A	A9
قديم	T	T3
ماضي	Z	Z5
وهى-	A	A1.1.2
تحت	Z	Z5
عدم	Z	Z6
فقط	Z	Z5
طويل	N	N3.7
جزء	N	N5.1
عديد	N	N5
عبد	S	S7.1-/S2m
إذ	Z	Z5/A2.2
كيف	Z	Z5
مصر	Z	Z2
داخل	Z	Z5
سياحي	M	M1
فكر	X	X2.1
لو	Z	Z7
شيخ	S	S7.1+/S2.2m
غربي	M	M6
حدث-	A	A2.1
ٱستخدام	A	A1.5.1
بناء	H	H1
حمل-	A	A1.1.1
شأن	X	X4.1
بيئة	W	W5
باب	H	H2
أدب	Q	Q4.1
دار	H	H1
تالي	N	N4
عمر	T	T3
قيمة	A	A11.1
نحن	Z	Z8
أهل	S	S4
ديني	S	S9
تحقيق	X	X9.2
سابق	T	T2
رأس	B	B1
واقع	A	A5.2
أهم	A	A6.3
مصري	Z	Z2/S2m
ولاية	G	G1.1
إنما	Z	Z5
ثقافي	C	C1
هدف	K	K5.1
حي	L	L1
دكتور	B	B3/I3.2/S2m
تجربة	X	X2.4
أعلى	N	N5+/A2.1
ذ	Z	Z5
حرية	A	A1.7
دائم	T	T2
إنتاج	A	A1.1.1
سؤال	Q	Q2.2
أساس	T	T2
عنى-	Q	Q1.1
أضاف	N	N5+/A2.1
عراق	Z	Z2
كاتب	Q	Q4.1/S2m
صاحب	A	A9+/S2m
فعل	A	A1.1.1
معلوم	X	X2.2
علاج	B	B3
لذلك	Z	Z5
أشار	A	A10
شرق	M	M6
موقع	M	M6
أنت	Z	Z8m
أوربي	Z	Z2
بعيد	N	N3.3
دخل-	M	M1
ساعة	T	T1.3
نشاط	A	A1.1.1
دواء	B	B3
جد	A	A11.1
ربما	A	A7
قلب	M	M1
جهاز	O	O2
عدة	N	N5
إدارة	S	S7.1
حصل-	A	A9
أساسي	A	A11.1
وطني	M	M7/N5.1
بداية	T	T2
طريقة	X	X4.2
فن	C	C1
أكد	Q	Q2.2
بقي-	N	N5.2
فلسطيني	Z	Z2
كلمة	Q	Q3
نص	Q	Q1.2
لن	Z	Z6
شاعر	Q	Q4.1/S2m
صناعة	I	I4
ألم	B	B2
رسالة	Q	Q1.2
ٱهتمام	X	X5.1
عصر	T	T1.2
أم	S	S4f
عشر	N	N1
حالي	T	T1.1.2
وزير	G	G1.1/S2m
معنى	S	S1.2.6
بدا-	A	A8
تحدث	Q	Q2.1
ذكر-	Q	Q2.1
عبر	Z	Z5
غرب	M	M6
شخص	S	S2mf
أجل	A	A2.2
قانون	G	G2.1
خارج	Z	Z5
مملكة	G	G1.1
قرآن	Q	Q4.1/S9
فني	Y	Y1
بلغ-	X	X9.1
حقيقة	A	A5.2
مئة	N	N1
ضد	Z	Z5
عالي	N	N3.7
جهة	A	A4.1
شعب	S	S2mf
قدرة	X	X9.1
كامل	N	N5.1
حاول	X	X8
شعر	Q	Q3
طبيعة	W	W5
نهاية	T	T2
داخلي	M	M6
ٱنتهى	T	T2
صوت	G	G1.2
تعالى	S	S1.2
عضو	S	S5+/S2m
فرنسي	Z	Z2
مريض	B	B2-/S2m
تنمية	A	A2.1
زمن	T	T1
خمس	N	N1
أب	S	S4m
ٱعتبار	X	X2.1
دعا-	Q	Q2.2
ثالث	N	N4
أصل	T	T2
نحو	Z	Z5
معرفة	X	X2.2
زاد-	N	N5+/A2.1
فرد	S	S2mf
حكومة	G	G1.1
وقع-	M	M1
نظر-	X	X3.4
ذل	S	S7.2
مرحلة	T	T1.3
عشرون	N	N1
مهم	A	A11.1
أعطى	A	A9
إجراء	A	A1.1.1
مجموعة	S	S5
وحدة	S	S5
قراءة	Q	Q3
ٱعتقد	X	X2.1
موقف	M	M6
لون	O	O4.3
أسلوب	X	X4.2
مؤسسة	S	S5
فندق	H	H4/H1
زيارة	S	S1.1.1
عادة	S	S1.1.1
تراث	A	A9+/S1.1.1
مسألة	X	X4.1
موضوع	X	X4.1
أقل	M	M2
ٱتجاه	M	M6
حاجة	S	S6
أربع	N	N1
إنساني	S	S2
وسيلة	X	X4.2
تطوير	A	A2.1
شديد	S	S1.2.5
أقام	A	A1.1.1
أستاذ	P	P1/S2mf
ظل-	M	M8
دعوة	Q	Q2.2
جسم	B	B1
آية	S	S9
معظم	N	N5.1
مسؤول	G	G1.1
قرار	X	X6
زيادة	N	N5+/A2.1
مصدر	T	T2
خرج-	M	M1
أفضل	A	A5.1
ٱستخدم	A	A1.5.1
قائم	A	A1.1.1
بينما	Z	Z5
أسود	O	O4.3
خط	Q	Q1.2
مدة	T	T1.3
بيئي	W	W5
عقد	A	A9
أهمية	A	A11.1
كأن	Z	Z5
هيئة	S	S5
رواية	Q	Q4.1
غرفة	H	H2
ذو	Z	Z5
لماذا	A	A2.2
حقق	X	X9.2
بشري	S	S2
حقيقي	A	A5.2
رؤية	X	X4.1
ٱحتاج	S	S6
معروف	X	X2.2
لما	A	A2.2
فكرة	X	X4.1
مجلة	Q	Q4.2
لجنة	G	G1.1
هيكل	X	X4.2
شعر-	E	E1
شهد-	S	S9
سبيل	X	X4.2
عراقي	Z	Z2
قرأ-	Q	Q1.2
دم	B	B1
فيلم	Q	Q4.3
طبيب	B	B3/S2m
جيد	A	A5.1
فريق	S	S5
سواء	Z	Z7
رسول	Q	Q2.1/S2m
تأثير	A	A2.2
جميل	O	O4.2
تقديم	A	A9
كي	A	A2.2
قاعدة	M	M7
س	Z	Z5
محطة	M	M3/H1c
سأل-	Q	Q2.2
بد	A	A1.9
عنصر	A	A4.1
سلطة	S	S7.1
سيد	S	S2.2m
منزل	H	H4
دولار	I	I1
هكذا	Z	Z5/A2.2
ٱتصال	S	S1.1.1
جامعة	P	P1/H1
محلي	M	M7
محاولة	X	X8
تقني	Y	Y1
فنان	C	C1/S2m
جائزة	A	A5.1
إطار	X	X4.2
مؤتمر	S	S1.1.3
سياسة	G	G1.2
مسجد	S	S9/H1
أخ	S	S4m
ق	Z	Z5
لعل	A	A7
ظرف	S	S6
مستقبل	T	T1.1.3
ترك-	M	M1
حيوان	L	L2
إسرائيلي	Z	Z2
نشر	A	A1.1.1
حدث	S	S1.1.1/X7
خطة	X	X4.2
ٱعتمد	A	A2.2
حجم	N	N3.4
تحديد	A	A4.2
إعادة	N	N6
عرض	O	O4.1
صحة	B	B2
ذهب-	M	M1
أحمد	Z	Z1
مذهب	S	S1.1.1
فرصة	A	A1.4
طلب-	Q	Q2.1
ٱتحاد	I	I3.1/S5
مجموع	A	A13.2
خير	A	A5.1
أعلن	Q	Q2.2
خلية	B	B1
آتي	T	T1.1.3
قسم	S	S1.1.2
قريب	N	N3.3
تاريخي	T	T1.1.1
تقدم	T	T1.1.2
شخصي	A	A10
سعر	I	I1.3
أبيض	O	O4.3
فوق	Z	Z5
واضح	A	A7
نجاح	X	X9.2
قصيدة	Q	Q3
إيمان	X	X2.1
خصوص	A	A14
معدل	A	A6.2
إنجليزي	Z	Z2
ماذا	Z	Z5
تطور	A	A5.1+/A2.1
رئيسي	A	A11.1
تجاري	I	I2.1
باحث	P	P1/S2m
عنوان	H	H4
شجرة	L	L3
ضرورة	S	S6
حماية	S	S8+/A15
جهد	X	X8
أدبي	Q	Q4.1
سلام	E	E3
علم-	X	X2.2
مدين	I	I1.1/S2m
منهج	X	X4.2
فعل-	S	S1.1.3
مجرد	A	A14
وزارة	G	G1.1
صديق	S	S3.1/S2m
زراعي	F	F4
شخصية	S	S2
قطيع	A	A4.1
مفهوم	X	X2.5
جرى-	M	M1
ضغط	A	A11.1
والد	S	S4m
ٱختلاف	A	A6.1
ألا	Z	Z5
صحيح	A	A5.2
عد-	N	N2
شمل-	A	A1.8
كريم	S	S1.2.2
طلب	X	X2.4
شمس	W	W1
مدى	N	N5
صناعي	I	I4
مال	I	I1
ضم-	A	A1.8
تعاون	S	S8
كويت	Z	Z2
خلاف	A	A6.1
تعرض	S	S3.1
واسع	N	N3.6
أطلق	A	A1.7
إقامة	H	H4
سوى	Z	Z5
نقطة	Q	Q2.1
تمام	A	A5.3
ضوء	W	W2
طرف	S	S1.1.3+mf
قطاع	A	A4.1
ٱقتصاد	I	I2.1
أقلية	N	N5
ورق	Q	Q4.2
أصاب	I	I3.1
نفسي	X	X2
طعام	F	F1
شب	T	T3-/S2m
جيل	T	T1.3
فلسطين	Z	Z2
إنشاء	T	T2
طاقة	X	X5.2
ٱختيار	A	A5.1
جنوب	M	M6
قيام	A	A1.1.1
ناحية	A	A4.1
سلم	S	S7.1
ترجمة	Q	Q3
ساعد	S	S8
رمضان	S	S9/T1.3
خليج	W	W3/M4
إمام	S	S9/S7.1+/S2.2m
جبل	W	W3
غريب	A	A6.2
مات-	L	L1
كلام	Q	Q2.1
لقاء	S	S1.1.3
جمعية	S	S5
حل	X	X4.2
لحظة	T	T1.2
رد-	Q	Q2.2
نقل	M	M2
قصة	Q	Q2.1
سفر	M	M1
حوار	Q	Q2.1
ح	Z	Z5
صالح	A	A1.2
أجنبي	M	M7
فقه	S	S9
سمى	Q	Q2.2
شارع	M	M3/H3
مباشر	M	M6
شارك	S	S1.1.3
سوف	X	X7
يوسف	Z	Z1m
حوالى	A	A13.4
ٱستمر	T	T2
صلى	S	S9/Q2.2
حزب	G	G1.2
خطر	A	A15
مزيد	N	N5
عودة	M	M6
قدس	Z	Z2
بحث-	Q	Q2.2
متخصص	A	A4.2
قاهرة	Z	Z2
تقرير	X	X6
صراع	X	X8
سرعة	N	N3.8
جماعة	K	K1/S1.1.3
ألد	E	E3
مدير	S	S7.1+/S2m
ٱستمرار	T	T2
صدر-	Q	Q4
موجود	A	A3
حصول	A	A9
أمريكا	Z	Z2
صحي	B	B2
طائرة	M	M5
ش	Z	Z5
عدو	S	S1.2.1-/S2mf
ٱرتفاع	N	N3.7+/A2.1
عانى	E	E4.1
وصول	M	M1
دخول	M	M7
تعبير	Q	Q3
فضل	A	A6.1
صحيفة	Q	Q4.2
وطن	G	G1.1c
رغبة	X	X7
طبع	S	S1.2
آلة	O	O2
أمين	Z	Z1m
تقريب	X	X2.1/A7
حرارة	O	O4.6
ٱختلف	A	A6.1
نصف	N	N5
عهد	X	X2.2
نادي	S	S5
إسرائيل	Z	Z2
أمير	S	S7.1+/S2.2m
ٱختار	X	X7
رد	Q	Q2.2
إبداع	A	A6.2
ع	Z	Z5
صلاة	S	S9/Q2.2
أوسط	N	N4
أظهر	A	A8
فتح	A	A1.1.1
أوربا	Z	Z2
دفع-	M	M2
وقى-	A	A15
أثناء	Z	Z5
ٱنتظر	X	X2.6
تحول	A	A2.1
زوج	S	S2.2m
شرقي	M	M6
وحد	A	A14
قائل	Q	Q2.1
نقل-	M	M6/A2.1
شهادة	Q	Q1.2
رسم	C	C1
سن	B	B1
وقف-	M	M3
مواطن	G	G1.1/S2m
أحب	S	S3.2
حضاري	A	A5.1+/A2.1
نار	O	O4.6
ٱكتشف	A	A10
شاء-	X	X7
بيان	X	X2.2/X2.4
إنترنت	Y	Y2
إعلام	X	X2.2
قارئ	Q	Q4.1/S2mf
إمكان	A	A7
وحيد	A	A14
تطبيق	Q	Q1.2
نساء	S	S2.1f
بحري	M	M4
عائلة	S	S4
حسب	Z	Z5
يهودي	S	S9/S2.2m
عبارة	Q	Q3
مبدأ	X	X4.1
ٱنتقل	M	M1
معلم	P	P1/I3.2/S2m
سعى-	X	X8
حملة	X	X7+/Q2.2
قيادة	S	S7.1
ضمن	Z	Z5
ثورة	G	G1.2
ٱستثمار	I	I1.1
سعيد	E	E4.1
خارجي	M	M7
مشاركة	S	S1.1.3
أتاح	A	A9
تعلق	A	A2.2
ليلة	T	T1.3
مثال	A	A4.1
داعي	X	X2.1
رسمي	G	G1.1
ست	N	N1
سطح	M	M6
نظرة	X	X3.4
بلا	Z	Z5/Z6
ليل	T	T1.3
قادم	M	M1
جمهور	S	S5
قوي	S	S1.2.5
أثار	M	M2
قرية	M	M7
محيط	A	A11.1
طبقة	P	P1
مر-	K	K5.1
معهد	P	P1/S5
موسيقى	K	K2
جسد	B	B1
تغيير	A	A2.1
واجه	S	S1.1.1
خطوة	M	M1
أحمر	O	O4.3
حسين	Z	Z1m
ملك-	A	A9
كلية	P	P1/H1
آل-	M	M1
قرر	X	X6
مقابل	S	S1.1.2
زوجة	S	S4f
توقف	M	M8
كائن	L	L2
هواء	O	O1.3
أسبوع	T	T1.3
أسرة	S	S4
عميق	N	N3.7
تنظيم	S	S5
عمق	N	N3.3
إنجاز	X	X9.2
لبنان	Z	Z2
مارس	A	A1.1.1
قادر	X	X9.1
مصلحة	S	S8
سر	A	A10
فصل	A	A1.7-/M1
فرقة	S	S5+c
معرض	O	O2/A10
سمع-	X	X3.2
تنفيذ	A	A1.1.1
حسن	A	A5.1
منع	S	S8
نقد	Q	Q2.2/E2
مكتبة	Q	Q4.1/H1
دقيق	A	A4.2
سبق-	N	N4
أبي	S	S4m
روسي	Z	Z2/S2m
عقيدة	S	S9
ظل	S	S8
خبر	X	X2.2+/T3
شعبي	E	E2
وفق	Z	Z5
باسم	E	E4.1
رقم	N	N1
تدريب	A	A1.1.1
مناسبة	T	T1.2
نمو	A	A2.1
صباح	T	T1.3
وراء	Z	Z5
أعاد	A	A1.1.1
ردة	X	X3.2
موت	L	L1
ٱزداد	N	N5+/A2.1
مقال	Q	Q4.2
لاحظ	X	X3.4
ص	Z	Z5
رابع	N	N4
عظيم	A	A5.1
أداء	K	K4
ألقى	M	M2
حب	S	S3.2
حر	S	S6
تربية	P	P1
منظمة	S	S5
ثمة	Z	Z5
هوية	S	S2
متوسط	N	N4
سلاح	G	G3
جزيرة	W	W3
عسكري	G	G3
عرض-	O	O2/A10
روح	S	S9
صفة	O	O4.1
تمكن	A	A7
متر	N	N3.1/O2
سمح-	S	S7.4
منتج	X	X9.2
زمان	T	T1
رب	S	S7.1+/S2.2m
شمال	M	M6
قومي	M	M7/N5.1
فقهي	S	S9
أحدث	A	A2.2
يومي	T	T1.1.2
نهر	W	W3/M4
مالي	I	I1
غاية	X	X7
شبكة	S	S5
دنيا	W	W1
أمن	G	G2.1
جراح	B	B3/S2m
تجاوز	N	N5.2
حادث	A	A1.4
معاصر	T	T1.1.2/S2m
فتح-	A	A10
مرحل	M	M2/G1.1
ٱنطلق	M	M1
إصابة	B	B2
متعدد	N	N5
ظاهر	A	A11.2
ولي-	M	M1
تقدير	E	E2
فيروس	L	L2
كاد-	A	A13.4
مورد	T	T2
حضور	K	K1/S2mf
ٱجتماع	S	S1.1.3
محدد	A	A4.2
ممكن	A	A7
مساحة	M	M6
شرعي	G	G2.2
جمال	O	O4.2
معين	A	A1.7
تحقق	A	A5.2
جدار	H	H2
توفير	A	A9
دعم	S	S8
بسيط	A	A12
دليل	Q	Q1.3/Q4.1
طبي	B	B3
تميز	A	A5.1
إطلاق	A	A1.7
أين	M	M6
سريع	N	N3.8
مكتب	I	I2.1/H1
سنوي	N	N6
فكري	X	X2
ٱنبغى	S	S6
أبرز	A	A10
متحف	T	T1.1.1/H1
عقل	X	X1
بنك	I	I1/H1
صار	A	A2.1
شاطئ	W	W3/M4
جمع-	A	A9
شريعة	S	S9
محمود	S	S1.1.4
أمل	X	X2.6
غالب	X	X9.2+/S7.3/S2m
مبيد	A	A1.1.2
سائح	M	M1/S2
حكومي	G	G1.1
مدرس	P	P1/I3.2/S2m
ٱكتشاف	A	A10
ٱنتشار	A	A1.1.1
درس	P	P1
ٱمتد	N	N3.3
شامل	A	A1.8
ٱتخذ	A	A9
دورة	K	K5/S7.3
مسرحية	K	K4
مسؤولية	S	S6
قدر	N	N5
بدء	T	T2
رائد	S	S7.1+/S2m
طب	B	B3
حلم	X	X4.1
رياضي	K	K5.1
ها	A	A8
ظاهرة	A	A3
خبير	X	X2.2
ذهب	O	O1.1
عميل	I	I2.1/S2m
معالجة	B	B3
دائرة	I	I2.1/H1
تل	W	W3
أغنية	K	K2
غذاء	F	F1
مهما	Z	Z8
بريطاني	Z	Z2S2m
عقوبة	G	G2.1
محل	M	M7
ساحة	M	M7
تناول	F	F1/B1
أبو	Z	Z1m
شيعة	S	S5+/S9
جيش	G	G3
ذاتي	S	S5
خبرة	X	X9.1
ج	Z	Z5
فلسفة	P	P1
مباراة	S	S7.3
منح-	A	A9
عاصمة	M	M7
مواجهة	S	S1.1.1/E3
مناسب	A	A1.2
تيار	W	W3/M4
إعداد	A	A1.1.1
مهمة	A	A1.1.1
تجارة	I	I2.1
مسرح	K	K4/H1
قضاء	G	G2.1
طير	L	L2
دقيقة	T	T1.3
نجح-	X	X9.2
ضخم	N	N3.2
تعامل	A	A2.2
دفاع	S	S8
وسط	N	N4
موسم	T	T1.3
مشهد	K	K4
مطلوب	X	X7
بشر	S	S2
عرف	X	X2.2
ولد	S	S2m/T3
سليم	A	A15
حديقة	L	L3/H3
أدرك	X	X2.5
بيع	I	I2.2
تغير	A	A2.1
فضاء	N	N3.6
قتل	L	L1
بطولة	K	K5/S7.3
بقية	N	N5.2
ٱقترب	M	M1
نعم	Z	Z4
صفحة	Q	Q1.2
تقليد	A	A6.1
شك	A	A7
تحرير	A	A1.7
سلطان	Z	Z1m
تصوير	C	C1
نبات	L	L3
ثابت	M	M8
مظهر	O	O4.1
أقصى	N	N3.3
كيميائي	O	O1
حساب	N	N2
ٱمرأة	S	S2.1f
مبنى	H	H1
مصاب	B	B2
هما	Z	Z8mf
ناصر	S	S5
مهرجان	K	K1/S1.1.3
مسيحي	S	S9
نموذج	A	A4.1
ملك	S	S7.1+/S2.2m
وصف-	Q	Q2.2
سماء	W	W1
لعب-	K	K5.1
كمية	N	N5
أديب	Q	Q4.1/S2m
ٱنتشر	A	A1.1.1
صعب	A	A12
بدل	A	A2.1
إستراتيجي	X	X7
عقد-	A	A9
تضمن	A	A1.8
فئة	S	S5
تابع	S	S7.1
خوف	E	E5
مادي	A	A1.6
جدة	Z	Z2
أداة	O	O2
شهير	A	A10
أصدر	X	X4.1
نجم	W	W1
رفض-	X	X7
صدر	B	B1
ألماني	Z	Z2/S2m
دفع	M	M2
فائدة	S	S8
جوي	O	O1.3
إشارة	Q	Q2.1
أخذ	A	A9
زائر	S	S1.1.1/S2mf
وظيفة	I	I3.1
خطأ	A	A5.3
رضا	S	S7.4
أمس	T	T1.1.1
صهيوني	Z	Z2/S2m
نهار	T	T1.3
حاضر	T	T1.1.2
جو	O	O1.3
ٱرتفع	N	N5+/A2.1
سادات	S	S7.1+/S2m
قصير	T	T1.3
سلامة	G	G2.1
وعي	B	B1
فرنسا	Z	Z2
كرة	O	O2/O4.4
كشف-	A	A10
نسي-	X	X2.2
وعى-	B	B1
مستمر	T	T2
جلس-	M	M8
أخضر	O	O4.3
خروج	M	M1
مغرب	Z	Z2
رعاية	G	G2.1
مغربي	Z	Z2
فهم-	X	X2.5
شاهد	X	X3.4
زميل	I	I3.2/S2m
أزمة	A	A12
تحليل	X	X2.4
سار-	M	M1
ٱهتم	X	X5.1
ديمقراطي	G	G1.2/S2m
روى-	Q	Q2.2
ض	Z	Z5
سيطرة	S	S7.1
أشبه	A	A6.1
أجاب	Q	Q2.2
ٱلتزام	X	X5.2
إذن	Z	Z5
هند	Z	Z2
مليار	N	N1
صحراء	W	W3
سبع	N	N1
نبي	T	T1.1.3/S9/S2m
قائد	S	S7.1+/S2m
خامس	N	N1
مملك	G	G2.1/S2m
أبد	T	T2
محافظة	S	S8+/A15
ظهور	A	A10
درس-	P	P1
إعلامي	Q	Q4c
ممارسة	A	A1.1.1
خلق	S	S1.2
مشترك	S	S1.1.2
قاد-	S	S7.1
تلقى	A	A9
قضى-	L	L1
ممثل	A	A1.1.1/S2m
مفكر	X	X2
عسل	F	F1
ملمح	O	O4.1
طن	N	N3.5
تفكير	X	X2.1
رياض	Z	Z2
أجرى	S	S1.1.1
محدود	N	N5
جماعي	S	S1.1.1
ٱلتقى	A	A1.2
فقير	I	I1.1-/S2m
ٱحتلال	I	I3.1
شرط	S	S6
ز	Z	Z5
أثري	Y	Y1
أسلم	S	S7.1
نشر-	Q	Q4
تأكيد	A	A7
ٱحتمال	A	A7
أفريقيا	Z	Z2
طرح-	A	A9
موسيقي	K	K2
لبناني	Z	Z2
تعلم	P	P1
مستشفى	B	B3/H1
زراعة	F	F4
سهم	S	S1.1.2
حقيق	S	S1.1.4
ضروري	S	S6
زيت	O	O1.2
بطاقة	Q	Q1.2
إلكتروني	O	O3
لاعب	K	K6/S2m
تقليدي	S	S1.1.1
مقعد	H	H5
هائل	N	N3.2
دار-	M	M1
تفصيل	Q	Q2.2
ٱجتهاد	X	X8
لازم	S	S6
تأسيس	T	T2
جين	B	B1
متميز	S	S7.1
لذا	Z	Z5
مائي	O	O1.2
آلية	A	A1.1.1/S5
ضابط	S	S7.1+/S2m
إصلاح	A	A2.1
نظري	A	A1.6
مرتد	G	G2.1
مقاومة	S	S8
تاب-	S	S9
ٱنتهاء	T	T2
حدد	A	A2.2
رفع-	O	O2/M2
ٱحتوى	A	A1.8
طيران	M	M5/S5
توجه	X	X2.1/E1
ذكر	Q	Q2.1
مؤمن	X	X2.1/S2m
أثبت	X	X2.3
مدني	G	G3
بنى-	B	B1/O4.4
شريف	Z	Z1m
طوال	Z	Z5
جمع	S	S5
شراء	I	I2.2
وصف	Q	Q2.2
زار-	S	S1.1.1
تركي	Z	Z2/S2m
أولائك	Z	Z8mf
إما	Z	Z5
آل	Z	Z1m
تمويل	I	I1
حمد	S	S7.2
تصميم	X	X6
فرض-	S	S6
كويتي	Z	Z2
ٱلتهاب	B	B2
سعادة	E	E4.1
معركة	X	X8
ولد-	A	A1.1.1
نطاق	A	A1.7
سلبي	Z	Z6
صلة	A	A2.2
إعلان	Q	Q2.2
إجابة	Q	Q2.2
أقرب	T	T1.1.3/N3.8
صحفي	Q	Q4.2/I3.2/S2m
جملة	Q	Q3
طول	N	N3.7
أكاديمي	P	P1/S2m
نائب	S	S7.1-/S2m
فردي	N	N5
أرسل	M	M2
سينما	Q	Q4.3/H1
عما	Z	Z5
جرح	B	B2
غطى	A	A10
ضعف	S	S1.2.5
أخرج	M	M2
تلوث	W	W5
باقي	T	T2
مساعدة	S	S8
قرب	Z	Z5
ظن-	X	X2.1
شاب	S	S2m/T3
وجهة	X	X4.1
قلم	Q	Q1.2/O2
ناتج	A	A1.1.1
تبقى	N	N5.2
حجر	O	O1.1
تفسير	Q	Q2.2/A7
فقيه	S	S9/S2m
ساكن	H	H4
خليجي	Z	Z2/S2m
بنية	O	O4.1
رائع	A	A5.1
جودة	A	A5.1
ٱعتماد	S	S7.1
وفد	S	S7.4
عقاد	B	B5/S2m
معني	E	E6
حمام	L	L2
حدوث	A	A3+/X2.6
جامعي	P	P1/H1
تعليمي	P	P1
مضى-	T	T2
